epoch,epoch_from_1,patchedCifar10(no denfence)Local_backdoor_cv_cifar10_resnet_snorm0.2_Baseline_Lr0.001_PLr0.02_TLr0.2_AttackNum200_EC0_SE1801_AllLayer1 - benign test acc (after fedavg),poisonedCifar10(no defence)_Local_backdoor_cv_cifar10_resnet_snorm0.2_Baseline_Lr0.001_PLr0.003_TLr0.2_AttackNum250_EC0_SE1801_AllLayer1 - benign test acc (after fedavg),cleanCifar10_pretraining1800(续训比较CAD)续前一个Local_backdoor_cv_cifar10_resnet_snorm1_without_attack_Lr0.001_TLr0.2_EC0_SE2000_noniid_0.9 - benign test acc (after fedavg),,
2430,629,87.32,86.88,87.3,,
2431,630,87.05,86.89,87.22,,
2432,631,87.07,87.07,87.64,,
2433,632,87.35,87.03,87.01,,
2434,633,87.21,87.19,87.85,,
2435,634,87.3,87.12,87.08,,
2436,635,87.29,86.98,87.39,,
2437,636,87.01,86.66,87.56,,
2438,637,87.42,86.91,87.81,,
2439,638,87.1,87.15,87.16,,
2440,639,87.16,87.09,87.92,,
2441,640,87.24,86.93,87.9,,
2442,641,87.26,86.89,87.82,,
2443,642,87.21,87.04,87.55,,
2444,643,87.25,86.86,87.59,,
2445,644,87.12,86.84,87.4,,
2446,645,87.15,87.07,87.85,,
2447,646,87.11,86.96,87.19,,
2448,647,87.21,87.31,87.65,,
2449,648,87.24,87.05,87.28,,
2450,649,87.28,87.15,87.68,,
2451,650,87.3,86.86,87.67,,
2452,651,87.26,87.1,87.09,,
2453,652,87.2,86.74,87.35,,
2454,653,87.12,86.83,87.45,,
2455,654,87.16,86.95,87.12,,
2456,655,87.28,87.13,87.47,,
2457,656,87.04,86.72,87.1,,
2458,657,87.33,86.63,87.13,,
2459,658,87.35,86.86,87.04,,
2460,659,87.35,86.93,87.08,,
2461,660,87.02,87.13,87.42,,
2462,661,87.19,86.82,87.18,,
2463,662,87.24,86.84,87.37,,
2464,663,87.18,86.96,87.14,,
2465,664,87.24,86.82,87.57,,
2466,665,87.02,86.97,87.73,,
2467,666,87.28,87.14,87.11,,
2468,667,87.12,87.05,87.61,,
2469,668,87.09,87.09,87.85,,
2470,669,87.25,87.07,87.16,,
2471,670,87.35,87.15,87.49,,
2472,671,87.15,87.1,87.01,,
2473,672,87.27,87.03,87.35,,
2474,673,87.19,87.16,87.07,,
2475,674,87.26,87.03,87.84,,
2476,675,87.23,86.99,87.57,,
2477,676,87.16,87.08,87.36,,
2478,677,87.17,87.26,87.78,,
2479,678,87.2,86.95,87.27,,
2480,679,87.28,87.17,87.03,,
2481,680,87.41,87.01,87.64,,
2482,681,87.38,87.02,87.58,,
2483,682,87.39,86.89,87.87,,
2484,683,87.42,86.88,87.13,,
2485,684,87.16,86.93,87.59,,
2486,685,87.33,87.18,87.2,,
2487,686,87.24,86.97,87.11,,
2488,687,87.3,87.22,87.08,,
2489,688,87.21,87.04,87.85,,
2490,689,87.23,87.02,87.92,,
2491,690,87.26,86.86,87.11,,
2492,691,87.22,87.01,87.09,,
2493,692,87.28,87.05,87.85,,
2494,693,87.26,86.91,87.23,,
2495,694,87.25,86.85,87.97,,
2496,695,87.1,86.95,87.13,,
2497,696,87.32,87.21,87.9,,
2498,697,87.13,87.03,87.5,,
2499,698,87.1,86.97,87.62,,
2500,699,87.33,86.9,87.82,,
2501,700,87.34,87.13,87.96,,
2502,701,87.31,87.09,87.28,,
2503,702,87.35,86.99,87.84,,
2504,703,87.14,87.02,87.98,,
2505,704,87.09,86.97,87.3,,
2506,705,87.12,86.99,87.85,,
2507,706,87.22,86.81,87.31,,
2508,707,87.35,87.17,87.86,,
2509,708,87.2,86.99,87.33,,
2510,709,87.21,87.06,87.28,,
2511,710,87.24,87.05,87.13,,
2512,711,87.32,87.16,87.81,,
2513,712,87.27,87.08,87.23,,
2514,713,87.29,87.13,87.87,,
2515,714,87.36,86.97,87.72,,
2516,715,87.06,86.73,87.82,,
2517,716,87.22,86.99,87.74,,
2518,717,87.35,86.79,87.41,,
2519,718,87.34,86.94,87.25,,
2520,719,87.18,86.9,87.24,,
2521,720,87.31,87.12,87.45,,
2522,721,87.31,87.01,87.15,,
2523,722,87.44,87.13,87.04,,
2524,723,87.37,86.99,87.57,,
2525,724,87.27,87.06,87.09,,
2526,725,87.26,87.18,87.75,,
2527,726,87.19,87.29,87.59,,
2528,727,87.22,86.99,87.19,,
2529,728,87.3,87.05,87.19,,
2530,729,87.28,87.05,87.19,,
2531,730,87.32,87.09,87.61,,
2532,731,87.44,86.96,87.03,,
2533,732,87.44,87.05,87.14,,
2534,733,87.32,87.03,87.49,,
2535,734,87.38,87.07,87.9,,
2536,735,87.18,87.05,87.7,,
2537,736,87.23,87.24,87.27,,
2538,737,87.16,87.08,87.75,,
2539,738,87.39,86.99,87.76,,
2540,739,87.38,87,87.67,,
2541,740,87.48,87,87.99,,
2542,741,87.37,87.02,87.34,,
2543,742,87.28,87.18,87.57,,
2544,743,87.39,87.16,87.17,,
2545,744,87.25,87.03,87,,
2546,745,87.24,86.93,87.42,,
2547,746,87.25,87.08,87.42,,
2548,747,87.34,86.99,87.52,,
2549,748,87.13,86.9,87.35,,
2550,749,87.2,87.02,87.03,,
2551,750,87.3,87.14,87.39,,
2552,751,87.13,86.99,87.87,,
2553,752,87.37,87.25,87.04,,
2554,753,87.38,87.03,87.11,,
2555,754,87.26,86.92,87.14,,
2556,755,87.17,87.2,87.8,,
2557,756,87.24,87.13,87.96,,
2558,757,87.2,87.11,87.58,,
2559,758,87.27,87.12,87.22,,
2560,759,87.26,87.09,87.26,,
2561,760,87.09,86.93,87.59,,
2562,761,87.34,86.94,87.46,,
2563,762,87.5,87.02,87.03,,
2564,763,87.31,87.05,87.43,,
2565,764,87.4,87.1,87.89,,
2566,765,87.36,87.13,87.17,,
2567,766,87.18,87.13,87.24,,
2568,767,87.2,87.07,87.68,,
2569,768,87.35,86.8,87.1,,
2570,769,87.24,87.03,87.28,,
2571,770,87.34,87.05,87.68,,
2572,771,87.26,87.16,87.94,,
2573,772,87.65,87.13,87.1,,
2574,773,87.31,87.05,87.68,,
2575,774,87.3,87.06,87.94,,
2576,775,87.29,86.95,87.31,,
2577,776,87.39,86.98,87.88,,
2578,777,87.28,87.08,87.6,,
2579,778,87.35,87.04,87.1,,
2580,779,87.17,87.09,87.4,,
2581,780,87.15,86.96,87.55,,
2582,781,87.4,87.12,87.4,,
2583,782,87.28,87.13,87.01,,
2584,783,87.12,87.08,87,,
2585,784,87.2,87.07,87.4,,
2586,785,87.46,86.78,87.51,,
2587,786,87.08,87.05,87.56,,
2588,787,87.16,87.01,87.39,,
2589,788,87.28,86.9,87.86,,
2590,789,87.14,86.93,87.27,,
2591,790,87.23,87.01,87.65,,
2592,791,87.27,86.78,87.39,,
2593,792,87.29,86.91,87.59,,
2594,793,87.36,87.16,87.28,,
2595,794,87.39,86.98,87.89,,
2596,795,87.28,87.1,87.07,,
2597,796,87.32,87,87.97,,
2598,797,87.33,87.18,87.38,,
2599,798,87.41,87.16,87.01,,
2600,799,87.33,87.12,87.4,,
2601,800,87.3,87.05,87.87,,
2602,801,87.15,87.08,87.43,,
2603,802,87.27,87.21,87.23,,
2604,803,87.45,87.14,87.71,,
2605,804,87.41,87.15,87.23,,
2606,805,87.4,87.09,87.04,,
2607,806,87.47,87.08,87.04,,
2608,807,87.42,87.17,87.27,,
2609,808,87.25,87.1,87.16,,
2610,809,87.5,87.01,87.18,,
2611,810,87.34,87.05,87.7,,
2612,811,87.44,87.14,87.24,,
2613,812,87.26,87.12,87.93,,
2614,813,87.09,87.12,87.02,,
2615,814,87.14,86.96,87.98,,
2616,815,87.49,87.06,87.93,,
2617,816,87.25,87.12,87.61,,
2618,817,87.38,86.91,87.78,,
2619,818,87.43,86.83,88,,
2620,819,87.33,87,87.74,,
2621,820,87.32,87.13,87.07,,
2622,821,87.37,87.14,87.8,,
2623,822,87.42,87.16,87.38,,
2624,823,87.42,86.93,87.52,,
2625,824,86.98,86.85,87.32,,
2626,825,87.23,87.22,87.66,,
2627,826,87.22,87.25,87.24,,
2628,827,87.4,87.22,87.27,,
2629,828,87.49,87.03,87.64,,
2630,829,,87.26,,,
2631,830,,87.13,,,
2632,831,,87.31,,,
2633,832,,87.1,,,
2634,833,,87.05,,,
2635,834,,87.11,,,
2636,835,,87.27,,,
2637,836,,87.06,,,
2638,837,,87.19,,,
2639,838,,87.11,,,
2640,839,,87.03,,,
2641,840,,87.15,,,
2642,841,,87.15,,,
2643,842,,87.08,,,
2644,843,,86.81,,,
2645,844,,87.01,,,
2646,845,,87.11,,,
2647,846,,87.21,,,
2648,847,,87.17,,,
2649,848,,87,,,
2650,849,,87.15,,,
2651,850,,87.03,,,
2652,851,,87.18,,,
2653,852,,87.24,,,
2654,853,,87.14,,,
2655,854,,87.1,,,
2656,855,,87.13,,,
2657,856,,87.17,,,
2658,857,,87.16,,,
2659,858,,87.11,,,
2660,859,,87.21,,,
2661,860,,87.15,,,
2662,861,,87.14,,,
2663,862,,87.13,,,
2664,863,,87.1,,,
2665,864,,87.05,,,
2666,865,,86.95,,,
2667,866,,87.03,,,
2668,867,,87.17,,,
2669,868,,86.92,,,
2670,869,,87.17,,,
2671,870,,87.28,,,
2672,871,,87.19,,,
2673,872,,87.36,,,
2674,873,,87.08,,,
2675,874,,87.2,,,
2676,875,,87.1,,,
2677,876,,87.1,,,
2678,877,,87.19,,,
2679,878,,87.02,,,
2680,879,,87.1,,,
2681,880,,86.92,,,
2682,881,,87.06,,,
2683,882,,87.2,,,
2684,883,,87.17,,,
2685,884,,87,,,
2686,885,,87.15,,,
2687,886,,87.07,,,
2688,887,,86.89,,,
2689,888,,87.01,,,
2690,889,,87.24,,,
2691,890,,87.18,,,
2692,891,,87.14,,,
2693,892,,87.16,,,
2694,893,,87.31,,,
2695,894,,86.98,,,
2696,895,,87.2,,,
2697,896,,87.16,,,
2698,897,,87.26,,,
2699,898,,87.26,,,
2700,899,,87.07,,,
2701,900,,87.09,,,
2702,901,,87.21,,,
2703,902,,87.2,,,
2704,903,,87.08,,,
2705,904,,87.09,,,
2706,905,,87.28,,,
2707,906,,87.17,,,
2708,907,,86.97,,,
2709,908,,87.1,,,
2710,909,,87.09,,,
2711,910,,87.19,,,
2712,911,,87.27,,,
2713,912,,87.08,,,
2714,913,,87.06,,,
2715,914,,87.18,,,
2716,915,,87.1,,,
2717,916,,87.05,,,
2718,917,,87.18,,,
2719,918,,87.22,,,
2720,919,,87.17,,,
2721,920,,87.34,,,
2722,921,,87.24,,,
2723,922,,87.09,,,
2724,923,,87.14,,,
2725,924,,86.99,,,
2726,925,,87.1,,,
2727,926,,87.15,,,
2728,927,,86.93,,,
2729,928,,87,,,
2730,929,,87.11,,,
2731,930,,87.28,,,
2732,931,,86.93,,,
2733,932,,87.19,,,
2734,933,,87.26,,,
2735,934,,87.14,,,
2736,935,,87.01,,,
2737,936,,86.64,,,
2738,937,,87.05,,,
2739,938,,87.13,,,
2740,939,,87.07,,,
2741,940,,87.14,,,
2742,941,,87.14,,,
2743,942,,87.14,,,
2744,943,,86.94,,,
2745,944,,87.09,,,
2746,945,,87.2,,,
2747,946,,87.06,,,
2748,947,,87.05,,,
2749,948,,87,,,
2750,949,,87.04,,,
2751,950,,87.19,,,
2752,951,,87.18,,,
2753,952,,87.36,,,
2754,953,,87.13,,,
2755,954,,87.19,,,
2756,955,,87.26,,,
2757,956,,87.26,,,
2758,957,,87.09,,,
2759,958,,87.11,,,
2760,959,,87.07,,,
2761,960,,87.17,,,
2762,961,,86.95,,,
2763,962,,87.13,,,
2764,963,,87.34,,,
2765,964,,87.26,,,
2766,965,,87.45,,,
2767,966,,87.22,,,
2768,967,,86.98,,,
2769,968,,87.19,,,
2770,969,,87.17,,,
2771,970,,87.11,,,
2772,971,,87.14,,,
2773,972,,87.07,,,
2774,973,,87.33,,,
2775,974,,87.42,,,
2776,975,,87.33,,,
2777,976,,87.33,,,
2778,977,,87.19,,,
2779,978,,87.2,,,
2780,979,,86.85,,,
2781,980,,87.05,,,
2782,981,,87.19,,,
2783,982,,87.26,,,
2784,983,,87.22,,,
2785,984,,87.37,,,
2786,985,,87.16,,,
2787,986,,87.3,,,
2788,987,,87.15,,,
2789,988,,87.19,,,
2790,989,,87.24,,,
2791,990,,87.35,,,
2792,991,,87.12,,,
2793,992,,87.18,,,
2794,993,,87.38,,,
2795,994,,87.11,,,
2796,995,,87.04,,,
2797,996,,87.02,,,
2798,997,,87.22,,,
2799,998,,87.24,,,
2800,999,,87.1,,,
2801,1000,,87.31,,,
2802,1001,,87.2,,,
2803,1002,,87.24,,,
2804,1003,,87.15,,,
2805,1004,,87.11,,,
2806,1005,,86.83,,,
2807,1006,,87.21,,,
2808,1007,,87.19,,,
2809,1008,,86.88,,,
2810,1009,,87.09,,,
2811,1010,,87.19,,,
2812,1011,,87.4,,,
2813,1012,,87.17,,,
2814,1013,,87.14,,,
2815,1014,,87.11,,,
2816,1015,,87.04,,,
2817,1016,,87.18,,,
2818,1017,,87.11,,,
2819,1018,,87.21,,,
2820,1019,,87.22,,,
2821,1020,,87.32,,,
2822,1021,,87.28,,,
2823,1022,,87.08,,,
2824,1023,,87.31,,,
2825,1024,,87.23,,,
2826,1025,,87.35,,,
2827,1026,,87.22,,,
2828,1027,,87.16,,,
2829,1028,,87.21,,,
2830,1029,,87.27,,,
2831,1030,,87.3,,,
2832,1031,,87.15,,,
2833,1032,,87.13,,,
2834,1033,,86.8,,,
2835,1034,,87.28,,,
2836,1035,,87.34,,,
2837,1036,,87.32,,,
2838,1037,,87.1,,,
2839,1038,,87.3,,,
2840,1039,,87.33,,,
2841,1040,,87.24,,,
2842,1041,,87.11,,,
2843,1042,,87.12,,,
2844,1043,,86.82,,,
2845,1044,,87.08,,,
2846,1045,,87.19,,,
2847,1046,,87.21,,,
2848,1047,,87.22,,,
2849,1048,,87.17,,,
2850,1049,,87.24,,,
2851,1050,,87.2,,,
2852,1051,,87.24,,,
2853,1052,,87.22,,,
2854,1053,,87.31,,,
2855,1054,,87.2,,,
2856,1055,,87.21,,,
2857,1056,,86.9,,,
2858,1057,,87.04,,,
2859,1058,,87.28,,,
2860,1059,,87.16,,,
2861,1060,,87.23,,,
2862,1061,,87.07,,,
2863,1062,,87.36,,,
2864,1063,,87.29,,,
2865,1064,,87.25,,,
2866,1065,,87.41,,,
2867,1066,,87.13,,,
2868,1067,,87.08,,,
2869,1068,,87.33,,,
2870,1069,,87.19,,,
2871,1070,,87.36,,,
2872,1071,,87.33,,,
2873,1072,,87.02,,,
2874,1073,,86.98,,,
2875,1074,,87.2,,,
2876,1075,,87.26,,,
2877,1076,,87.29,,,
2878,1077,,87.07,,,
2879,1078,,87.27,,,
2880,1079,,87.13,,,
2881,1080,,87.08,,,
2882,1081,,87.29,,,
2883,1082,,87.21,,,
2884,1083,,87.25,,,
2885,1084,,87.31,,,
2886,1085,,87.06,,,
2887,1086,,87.28,,,
2888,1087,,87.29,,,
2889,1088,,87.32,,,
2890,1089,,87.26,,,
2891,1090,,87.29,,,
2892,1091,,87.45,,,
2893,1092,,87.35,,,
2894,1093,,87.18,,,
2895,1094,,86.96,,,
2896,1095,,86.95,,,
2897,1096,,87.29,,,
2898,1097,,87.14,,,
2899,1098,,87.11,,,
2900,1099,,87.06,,,
2901,1100,,87.18,,,
2902,1101,,87.08,,,
2903,1102,,87.19,,,
2904,1103,,87.17,,,
2905,1104,,87.08,,,
2906,1105,,86.81,,,
2907,1106,,87.02,,,
2908,1107,,86.62,,,
2909,1108,,87.12,,,
2910,1109,,87.27,,,
2911,1110,,87.21,,,
2912,1111,,87.13,,,
2913,1112,,87.06,,,
2914,1113,,87.22,,,
2915,1114,,87.36,,,
2916,1115,,87.24,,,
2917,1116,,87.23,,,
2918,1117,,87.25,,,
2919,1118,,87.19,,,
2920,1119,,87.08,,,
2921,1120,,87.24,,,
2922,1121,,87.34,,,
2923,1122,,87.36,,,
2924,1123,,87.3,,,
2925,1124,,86.97,,,
2926,1125,,87.08,,,
2927,1126,,86.92,,,
2928,1127,,87,,,
2929,1128,,87.1,,,
2930,1129,,87.42,,,
2931,1130,,87.23,,,
2932,1131,,87.15,,,
2933,1132,,87.21,,,
2934,1133,,87.27,,,
2935,1134,,86.94,,,
2936,1135,,87.2,,,
2937,1136,,87.41,,,
2938,1137,,87.27,,,
2939,1138,,87.2,,,
2940,1139,,87.19,,,
2941,1140,,87.32,,,
2942,1141,,87.19,,,
2943,1142,,87.26,,,
2944,1143,,86.94,,,
2945,1144,,87.36,,,
2946,1145,,87.22,,,
2947,1146,,87.28,,,
2948,1147,,87.22,,,
2949,1148,,87.06,,,
2950,1149,,87.19,,,
2951,1150,,87.25,,,
2952,1151,,87.4,,,
2953,1152,,87.21,,,
2954,1153,,87.29,,,
2955,1154,,87.25,,,
2956,1155,,86.98,,,
2957,1156,,87.1,,,
2958,1157,,87.06,,,
2959,1158,,87.09,,,
2960,1159,,87.21,,,
2961,1160,,87.18,,,
2962,1161,,87.06,,,
2963,1162,,87.02,,,
2964,1163,,87.15,,,
2965,1164,,87.3,,,
2966,1165,,86.99,,,
2967,1166,,87.24,,,
2968,1167,,87.2,,,
2969,1168,,87.14,,,
2970,1169,,87.07,,,
2971,1170,,87.18,,,
2972,1171,,87.01,,,
2973,1172,,87.31,,,
2974,1173,,87.19,,,
2975,1174,,87.06,,,
2976,1175,,87.26,,,
2977,1176,,87.45,,,
2978,1177,,87.47,,,
2979,1178,,87.27,,,
2980,1179,,87.13,,,
2981,1180,,87.13,,,
2982,1181,,87.24,,,
2983,1182,,87.52,,,
2984,1183,,87.11,,,
2985,1184,,87.34,,,
2986,1185,,87.06,,,
2987,1186,,87.05,,,
2988,1187,,87.16,,,
2989,1188,,87.24,,,
2990,1189,,87,,,
2991,1190,,87.16,,,
2992,1191,,87.2,,,
2993,1192,,87.1,,,
2994,1193,,87.24,,,
2995,1194,,87.44,,,
2996,1195,,87.21,,,
2997,1196,,87.29,,,
2998,1197,,87.36,,,
2999,1198,,87.32,,,
3000,1199,,87.23,,,
3001,1200,,87.26,,,
3002,1201,,87.3,,,
3003,1202,,87.17,,,
3004,1203,,87.14,,,
3005,1204,,87.33,,,
3006,1205,,87.35,,,
3007,1206,,87.22,,,
3008,1207,,87.3,,,
3009,1208,,87.4,,,
3010,1209,,87.4,,,
3011,1210,,87.33,,,
3012,1211,,87.16,,,
3013,1212,,87.07,,,
3014,1213,,87.34,,,
3015,1214,,87.36,,,
3016,1215,,87.27,,,
3017,1216,,87.36,,,
3018,1217,,87.22,,,
3019,1218,,87.31,,,
3020,1219,,87.17,,,
3021,1220,,87.13,,,
3022,1221,,87.32,,,
3023,1222,,87.25,,,
3024,1223,,87.43,,,
3025,1224,,87.44,,,
3026,1225,,87.34,,,
3027,1226,,87.1,,,
3028,1227,,87.22,,,
3029,1228,,87.32,,,
3030,1229,,87.31,,,
3031,1230,,87.41,,,
3032,1231,,87.04,,,
3033,1232,,87.1,,,
3034,1233,,87.31,,,
3035,1234,,87.24,,,
3036,1235,,87.4,,,
3037,1236,,87.5,,,
3038,1237,,87.21,,,
3039,1238,,87.11,,,
3040,1239,,87.19,,,
3041,1240,,87.29,,,
3042,1241,,87.26,,,
3043,1242,,87.42,,,
3044,1243,,87.43,,,
3045,1244,,87.35,,,
3046,1245,,87.14,,,
3047,1246,,87.34,,,
3048,1247,,87.3,,,
3049,1248,,87.24,,,
3050,1249,,87.26,,,
3051,1250,,87.43,,,
3052,1251,,87.48,,,
3053,1252,,87.29,,,
3054,1253,,87.37,,,
3055,1254,,87.18,,,
3056,1255,,87.1,,,
3057,1256,,87.2,,,
3058,1257,,87.17,,,
3059,1258,,86.97,,,
3060,1259,,87.19,,,
3061,1260,,87.39,,,
3062,1261,,,,,
3063,1262,,,,,
3064,1263,,,,,
3065,1264,,,,,
3066,1265,,,,,
3067,1266,,,,,
3068,1267,,,,,
3069,1268,,,,,
3070,1269,,,,,
3071,1270,,,,,
3072,1271,,,,,
3073,1272,,,,,
3074,1273,,,,,
3075,1274,,,,,
3076,1275,,,,,
3077,1276,,,,,
3078,1277,,,,,
3079,1278,,,,,
3080,1279,,,,,
3081,1280,,,,,
3082,1281,,,,,
3083,1282,,,,,
3084,1283,,,,,
3085,1284,,,,,
3086,1285,,,,,
3087,1286,,,,,
3088,1287,,,,,
3089,1288,,,,,
3090,1289,,,,,
3091,1290,,,,,
3092,1291,,,,,
3093,1292,,,,,
3094,1293,,,,,
3095,1294,,,,,
3096,1295,,,,,
3097,1296,,,,,
3098,1297,,,,,
3099,1298,,,,,
3100,1299,,,,,
3101,1300,,,,,
3102,1301,,,,,
3103,1302,,,,,
3104,1303,,,,,
3105,1304,,,,,
3106,1305,,,,,
3107,1306,,,,,
3108,1307,,,,,
3109,1308,,,,,
3110,1309,,,,,
3111,1310,,,,,
