epoch,poisonedCifar10(no defence)_Local_backdoor_cv_cifar10_resnet_snorm0.2_Baseline_Lr0.001_PLr0.003_TLr0.2_AttackNum250_EC0_SE1801_AllLayer1 - _step,patchedCifar10(no denfence)Local_backdoor_cv_cifar10_resnet_snorm0.2_Baseline_Lr0.001_PLr0.02_TLr0.2_AttackNum200_EC0_SE1801_AllLayer1 - test poison acc (after fedavg),poisonedCifar10(no defence)_Local_backdoor_cv_cifar10_resnet_snorm0.2_Baseline_Lr0.001_PLr0.003_TLr0.2_AttackNum250_EC0_SE1801_AllLayer1 - test poison acc (after fedavg)
1961,161,86.71875 ,94.53125 
1962,162,86.91406 ,97.65625 
1963,163,81.83594 ,98.04688 
1964,164,89.25781 ,99.02344 
1965,165,89.25781 ,98.82813 
1966,166,88.28125 ,98.82813 
1967,167,86.13281 ,99.02344 
1968,168,91.01563 ,99.02344 
1969,169,89.06250 ,98.63281 
1970,170,88.86719 ,98.04688 
1971,171,89.25781 ,97.46094 
1972,172,88.08594 ,96.87500 
1973,173,87.69531 ,99.21875 
1974,174,89.06250 ,99.02344 
1975,175,90.42969 ,99.21875 
1976,176,87.69531 ,98.82813 
1977,177,89.25781 ,96.67969 
1978,178,92.96875 ,97.26563 
1979,179,90.82031 ,94.14063 
1980,180,90.82031 ,95.50781 
1981,181,89.84375 ,97.26563 
1982,182,93.35938 ,98.82813 
1983,183,89.06250 ,98.82813 
1984,184,93.55469 ,99.02344 
1985,185,94.14063 ,98.43750 
1986,186,93.55469 ,99.21875 
1987,187,93.75000 ,98.63281 
1988,188,92.57813 ,98.82813 
1989,189,92.57813 ,98.63281 
1990,190,90.62500 ,98.63281 
1991,191,89.84375 ,99.21875 
1992,192,91.99219 ,99.02344 
1993,193,93.55469 ,99.02344 
1994,194,94.14063 ,99.21875 
1995,195,93.94531 ,99.60938 
1996,196,88.86719 ,100.00000 
1997,197,91.60156 ,99.60938 
1998,198,91.60156 ,99.80469 
1999,199,94.72656 ,99.60938 
2000,200,93.75000 ,99.21875 
2001,201,91.01563 ,100.00000 
2002,202,90.03906 ,100.00000 
2003,203,89.25781 ,99.60938 
2004,204,90.82031 ,100.00000 
2005,205,91.40625 ,100.00000 
2006,206,90.23438 ,100.00000 
