epoch,epochs,patchedCifar10(no denfence)Local_backdoor_cv_cifar10_resnet_snorm0.2_Baseline_Lr0.001_PLr0.02_TLr0.2_AttackNum200_EC0_SE1801_AllLayer1 - benign test acc (after fedavg),poisonedCifar10(no defence)_Local_backdoor_cv_cifar10_resnet_snorm0.2_Baseline_Lr0.001_PLr0.003_TLr0.2_AttackNum250_EC0_SE1801_AllLayer1 - benign test acc (after fedavg),cleanCifar10_pretraining1800(续训比较CAD)Local_backdoor_cv_cifar10_resnet_snorm1_without_attack_Lr0.001_TLr0.2_EC0_SE1801_noniid_0.9 - benign test acc (after fedavg)
2466,665,87.02,86.93,
2467,666,87.28,87.09,
2468,667,87.12,87.14,
2469,668,87.09,86.71,
2470,669,87.25,86.82,
2471,670,87.35,86.97,
2472,671,87.15,86.72,
2473,672,87.27,87.1,
2474,673,87.19,87.04,
2475,674,87.26,87.07,
2476,675,87.23,86.94,
2477,676,87.16,87.06,
2478,677,87.17,86.96,
2479,678,87.2,86.94,
2480,679,87.28,86.88,
2481,680,87.41,86.89,
2482,681,87.38,87.07,
2483,682,87.39,87.03,
2484,683,87.42,87.19,
2485,684,87.16,87.12,
2486,685,87.33,86.98,
2487,686,87.24,86.66,
2488,687,87.3,86.91,
2489,688,87.21,87.15,
2490,689,87.23,87.09,
2491,690,87.26,86.93,
2492,691,87.22,86.89,
2493,692,87.28,87.04,
2494,693,87.26,86.86,
2495,694,87.25,86.84,
2496,695,87.1,87.07,
2497,696,87.32,86.96,
2498,697,87.13,87.31,
2499,698,87.1,87.05,
2500,699,87.33,87.15,
2501,700,87.34,86.86,
2502,701,87.31,87.1,
2503,702,87.35,86.74,
2504,703,87.14,86.83,
2505,704,87.09,86.95,
2506,705,87.12,87.13,
2507,706,87.22,86.72,
2508,707,87.35,86.63,
2509,708,87.2,86.86,
2510,709,87.21,86.93,
2511,710,87.24,87.13,
2512,711,87.32,86.82,
2513,712,87.27,86.84,
2514,713,87.29,86.96,
2515,714,87.36,86.82,
2516,715,87.06,86.97,
2517,716,87.22,87.14,
2518,717,87.35,87.05,
2519,718,87.34,87.09,
2520,719,87.18,87.07,
2521,720,87.31,87.15,
2522,721,87.31,87.1,
2523,722,87.44,87.03,
2524,723,87.37,87.16,
2525,724,87.27,87.03,
2526,725,87.26,86.99,
2527,726,87.19,87.08,
2528,727,87.22,87.26,
2529,728,87.3,86.95,
2530,729,87.28,87.17,
2531,730,87.32,87.01,
2532,731,87.44,87.02,
2533,732,87.44,86.89,
2534,733,87.32,86.88,
2535,734,87.38,86.93,
2536,735,87.18,87.18,
2537,736,87.23,86.97,
2538,737,87.16,87.22,
2539,738,87.39,87.04,
2540,739,87.38,87.02,
2541,740,87.48,86.86,
2542,741,87.37,87.01,
2543,742,87.28,87.05,
2544,743,87.39,86.91,
2545,744,87.25,86.85,
2546,745,87.24,86.95,
2547,746,87.25,87.21,
2548,747,87.34,87.03,
2549,748,87.13,86.97,
2550,749,87.2,86.9,
2551,750,87.3,87.13,
2552,751,87.13,87.09,
2553,752,87.37,86.99,
2554,753,87.38,87.02,
2555,754,87.26,86.97,
2556,755,87.17,86.99,
2557,756,87.24,86.81,
2558,757,87.2,87.17,
2559,758,87.27,86.99,
2560,759,87.26,87.06,
2561,760,87.09,87.05,
2562,761,87.34,87.16,
2563,762,87.5,87.08,
2564,763,87.31,87.13,
2565,764,87.4,86.97,
2566,765,87.36,86.73,
2567,766,87.18,86.99,
2568,767,87.2,86.79,
2569,768,87.35,86.94,
2570,769,87.24,86.9,
2571,770,87.34,87.12,
2572,771,87.26,87.01,
2573,772,87.65,87.13,
2574,773,87.31,86.99,
2575,774,87.3,87.06,
2576,775,87.29,87.18,
2577,776,87.39,87.29,
2578,777,87.28,86.99,
2579,778,87.35,87.05,
2580,779,87.17,87.05,
2581,780,87.15,87.09,
2582,781,87.4,86.96,
2583,782,87.28,87.05,
2584,783,87.12,87.03,
2585,784,87.2,87.07,
2586,785,87.46,87.05,
2587,786,87.08,87.24,
2588,787,87.16,87.08,
2589,788,87.28,86.99,
2590,789,87.14,87,
2591,790,87.23,87,
2592,791,87.27,87.02,
2593,792,87.29,87.18,
2594,793,87.36,87.16,
2595,794,87.39,87.03,
2596,795,87.28,86.93,
2597,796,87.32,87.08,
2598,797,87.33,86.99,
2599,798,87.41,86.9,
2600,799,87.33,87.02,
2601,800,87.3,87.14,
2602,801,87.15,86.99,
2603,802,87.27,87.25,
2604,803,87.45,87.03,
2605,804,87.41,86.92,
2606,805,87.4,87.2,
2607,806,87.47,87.13,
2608,807,87.42,87.11,
2609,808,87.25,87.12,
2610,809,87.5,87.09,
2611,810,87.34,86.93,
2612,811,87.44,86.94,
2613,812,87.26,87.02,
2614,813,87.09,87.05,
2615,814,87.14,87.1,
2616,815,87.49,87.13,
2617,816,87.25,87.13,
2618,817,87.38,87.07,
2619,818,87.43,86.8,
2620,819,87.33,87.03,
2621,820,87.32,87.05,
2622,821,87.37,87.16,
2623,822,87.42,87.13,
2624,823,87.42,87.05,
2625,824,86.98,87.06,
2626,825,87.23,86.95,
2627,826,87.22,86.98,
2628,827,87.4,87.08,
2629,828,87.49,87.04,
2630,829,,87.09,
2631,830,,86.96,
2632,831,,87.12,
2633,832,,87.13,
2634,833,,87.08,
2635,834,,87.07,
2636,835,,86.78,
2637,836,,87.05,
2638,837,,87.01,
2639,838,,86.9,
2640,839,,86.93,
2641,840,,87.01,
2642,841,,86.78,
2643,842,,86.91,
2644,843,,87.16,
2645,844,,86.98,
2646,845,,87.1,
2647,846,,87,
2648,847,,87.18,
2649,848,,87.16,
2650,849,,87.12,
2651,850,,87.05,
2652,851,,87.08,
2653,852,,87.21,
2654,853,,87.14,
2655,854,,87.15,
2656,855,,87.09,
2657,856,,87.08,
2658,857,,87.17,
